"","Survived","Pclass","Sex","Age","NSibSp","NParch","Embarked","Title","Cabin1","Cost"
"1","0","3","male",22,"1","0","S","Mr","0","cheap"
"2","1","1","female",38,"1","0","C","Mr","1","exp"
"3","1","3","female",26,"0","0","S","Miss","0","cheap"
"4","1","1","female",35,"1","0","S","Mr","1","medium"
"5","0","3","male",35,"0","0","S","Mr","0","cheap"
"6","0","3","male",NA,"0","0","Q","Mr","0","cheap"
"7","0","1","male",54,"0","0","S","Mr","1","medium"
"8","0","3","male",2,"2","1","S","Other","0","cheap"
"9","1","3","female",27,"0","2","S","Mr","0","cheap"
"10","1","2","female",14,"1","0","C","Mr","0","cheap"
"11","1","3","female",4,"1","1","S","Miss","1","cheap"
"12","1","1","female",58,"0","0","S","Miss","1","cheap"
"13","0","3","male",20,"0","0","S","Mr","0","cheap"
"14","0","3","male",39,"1","3","S","Mr","0","cheap"
"15","0","3","female",14,"0","0","S","Miss","0","cheap"
"16","1","2","female",55,"0","0","S","Mr","0","cheap"
"17","0","3","male",2,"2","1","Q","Other","0","cheap"
"18","1","2","male",NA,"0","0","S","Mr","0","cheap"
"19","0","3","female",31,"1","0","S","Mr","0","cheap"
"20","1","3","female",NA,"0","0","C","Mr","0","cheap"
"21","0","2","male",35,"0","0","S","Mr","0","cheap"
"22","1","2","male",34,"0","0","S","Mr","1","cheap"
"23","1","3","female",15,"0","0","Q","Miss","0","cheap"
"24","1","1","male",28,"0","0","S","Mr","1","cheap"
"25","0","3","female",8,"2","1","S","Miss","0","cheap"
"26","1","3","female",38,"1","3","S","Mr","0","cheap"
"27","0","3","male",NA,"0","0","C","Mr","0","cheap"
"28","0","1","male",19,"2","2","S","Mr","1","exp"
"29","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"30","0","3","male",NA,"0","0","S","Mr","0","cheap"
"31","0","1","male",40,"0","0","C","Other","0","cheap"
"32","1","1","female",NA,"1","0","C","Mr","1","exp"
"33","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"34","0","2","male",66,"0","0","S","Mr","0","cheap"
"35","0","1","male",28,"1","0","C","Mr","0","exp"
"36","0","1","male",42,"1","0","S","Mr","0","medium"
"37","1","3","male",NA,"0","0","C","Mr","0","cheap"
"38","0","3","male",21,"0","0","S","Mr","0","cheap"
"39","0","3","female",18,"2","0","S","Miss","0","cheap"
"40","1","3","female",14,"1","0","C","Miss","0","cheap"
"41","0","3","female",40,"1","0","S","Mr","0","cheap"
"42","0","2","female",27,"1","0","S","Mr","0","cheap"
"43","0","3","male",NA,"0","0","C","Mr","0","cheap"
"44","1","2","female",3,"1","2","C","Miss","0","medium"
"45","1","3","female",19,"0","0","Q","Miss","0","cheap"
"46","0","3","male",NA,"0","0","S","Mr","0","cheap"
"47","0","3","male",NA,"1","0","Q","Mr","0","cheap"
"48","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"49","0","3","male",NA,"2","0","C","Mr","0","cheap"
"50","0","3","female",18,"1","0","S","Mr","0","cheap"
"51","0","3","male",7,"2","1","S","Other","0","cheap"
"52","0","3","male",21,"0","0","S","Mr","0","cheap"
"53","1","1","female",49,"1","0","C","Mr","1","exp"
"54","1","2","female",29,"1","0","S","Mr","0","cheap"
"55","0","1","male",65,"0","1","C","Mr","1","exp"
"56","1","1","male",NA,"0","0","S","Mr","1","cheap"
"57","1","2","female",21,"0","0","S","Miss","0","cheap"
"58","0","3","male",28.5,"0","0","C","Mr","0","cheap"
"59","1","2","female",5,"1","2","S","Miss","0","cheap"
"60","0","3","male",11,"2","2","S","Other","0","medium"
"61","0","3","male",22,"0","0","C","Mr","0","cheap"
"62","1","1","female",38,"0","0","C","Miss","1","exp"
"63","0","1","male",45,"1","0","S","Mr","1","exp"
"64","0","3","male",4,"2","2","S","Other","0","cheap"
"65","0","1","male",NA,"0","0","C","Mr","0","cheap"
"66","1","3","male",NA,"1","1","C","Other","0","cheap"
"67","1","2","female",29,"0","0","S","Mr","1","cheap"
"68","0","3","male",19,"0","0","S","Mr","0","cheap"
"69","1","3","female",17,"2","2","S","Miss","0","cheap"
"70","0","3","male",26,"2","0","S","Mr","0","cheap"
"71","0","2","male",32,"0","0","S","Mr","0","cheap"
"72","0","3","female",16,"2","2","S","Miss","0","medium"
"73","0","2","male",21,"0","0","S","Mr","0","exp"
"74","0","3","male",26,"1","0","C","Mr","0","cheap"
"75","1","3","male",32,"0","0","S","Mr","0","medium"
"76","0","3","male",25,"0","0","S","Mr","1","cheap"
"77","0","3","male",NA,"0","0","S","Mr","0","cheap"
"78","0","3","male",NA,"0","0","S","Mr","0","cheap"
"79","1","2","male",0.83,"0","2","S","Other","0","cheap"
"80","1","3","female",30,"0","0","S","Miss","0","cheap"
"81","0","3","male",22,"0","0","S","Mr","0","cheap"
"82","1","3","male",29,"0","0","S","Mr","0","cheap"
"83","1","3","female",NA,"0","0","Q","Miss","0","cheap"
"84","0","1","male",28,"0","0","S","Mr","0","medium"
"85","1","2","female",17,"0","0","S","Miss","0","cheap"
